City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kazachinskoye,RU,57.6953,93.2761,90.39,28,1,9.17,clear sky
79,Nikolskoye,RU,59.7035,30.7861,80.49,33,2,4.14,clear sky
80,Ossora,RU,59.2353,163.0719,59.02,92,84,5.68,broken clouds
81,Fukue,JP,32.6881,128.8419,82.76,69,0,3.44,clear sky
82,Poum,NC,-20.2333,164.0167,71.73,69,9,20.38,clear sky
83,Conceicao Da Barra,BR,-18.5933,-39.7322,64.51,90,28,2.24,scattered clouds
84,Perth,AU,-31.9333,115.8333,61.09,96,90,18.41,moderate rain
85,Kavieng,PG,-2.5744,150.7967,81.37,75,29,5.57,moderate rain
86,Cumberland,US,35.0502,-78.8664,75.87,93,1,4.61,clear sky
87,Envira,BR,-7.3,-70.2167,70.29,88,24,2.19,few clouds
88,Albany,US,42.6001,-73.9662,66.9,96,0,3.31,clear sky
89,Bayburt,TR,40.2589,40.2278,87.42,21,3,8.14,clear sky
90,Roald,NO,62.5833,6.1333,83.16,82,0,8.05,clear sky
91,Bengkulu,ID,-3.8004,102.2655,84.24,61,28,8.41,scattered clouds
92,Gonaives,HT,19.45,-72.6833,75.58,81,89,3.67,overcast clouds
93,Portland,US,45.5234,-122.6762,66.43,75,1,1.01,clear sky
94,Palmer,US,42.1584,-72.3287,69.73,83,90,0.0,fog
95,Bibiani,GH,6.4635,-2.3194,75.33,78,52,3.56,broken clouds
96,Marshall,US,34.3834,-86.3333,75.49,86,1,0.0,clear sky
97,Kapaa,US,22.0752,-159.319,80.92,83,40,1.01,light rain
98,Flinders,AU,-34.5833,150.8552,60.19,65,100,4.0,overcast clouds
99,Port Alfred,ZA,-33.5906,26.891,70.68,28,72,13.78,broken clouds
100,Hithadhoo,MV,-0.6,73.0833,82.31,75,97,9.82,light rain
101,Znamenskoye,RU,57.1281,73.8282,66.87,41,15,13.96,few clouds
102,Itaituba,BR,-4.2761,-55.9836,68.59,70,14,1.19,few clouds
103,Kailua,US,21.4022,-157.7394,80.58,76,75,11.5,broken clouds
104,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.55,85,0,8.75,clear sky
105,Butaritari,KI,3.0707,172.7902,79.29,80,100,6.76,overcast clouds
106,Ixtapa,MX,20.7,-105.2,76.23,97,100,3.27,overcast clouds
107,Te Anau,NZ,-45.4167,167.7167,42.46,95,83,0.58,light rain
108,Marneuli,GE,41.4759,44.8089,83.14,31,21,10.07,few clouds
109,Adrar,MR,20.5022,-10.0711,93.97,14,1,6.29,clear sky
110,Constitucion,CL,-35.3333,-72.4167,50.7,91,93,4.81,overcast clouds
111,Piacabucu,BR,-10.4056,-36.4344,71.85,89,72,7.23,broken clouds
112,Senador Jose Porfirio,BR,-2.5908,-51.9542,71.38,74,18,3.15,few clouds
113,Termoli,IT,41.9888,14.9895,94.78,26,100,8.84,overcast clouds
114,Nambucca Heads,AU,-30.65,153.0,53.17,57,64,6.58,broken clouds
115,Kaitangata,NZ,-46.2817,169.8464,47.35,94,100,4.9,light rain
116,Broome,US,42.2506,-75.833,65.64,88,1,3.44,mist
117,Sobolevo,RU,54.4299,31.8996,79.21,45,5,6.64,clear sky
118,Carlos Chagas,BR,-17.7031,-40.7664,62.47,92,48,2.42,scattered clouds
119,Stornoway,GB,58.2093,-6.3865,60.93,88,75,2.3,broken clouds
120,Nangomba,TZ,-10.9,38.5,78.44,36,9,10.31,clear sky
121,Nabire,ID,-3.3667,135.4833,80.26,81,29,2.8,scattered clouds
122,Vilhena,BR,-12.7406,-60.1458,65.05,62,3,2.37,clear sky
123,Hilo,US,19.7297,-155.09,74.93,91,90,0.0,moderate rain
124,Castro,BR,-24.7911,-50.0119,52.77,55,0,4.03,clear sky
125,Jelgava,LV,56.65,23.7128,82.44,36,28,8.55,scattered clouds
126,Edd,ER,13.9297,41.6925,90.64,56,84,8.32,broken clouds
127,Nanortalik,GL,60.1432,-45.2371,46.36,69,85,9.55,overcast clouds
128,Komsomolskiy,UZ,40.4272,71.7189,104.72,11,0,9.22,clear sky
129,Cayenne,GF,4.9333,-52.3333,74.08,91,90,0.0,mist
130,Kodiak,US,57.79,-152.4072,50.32,92,42,5.64,scattered clouds
131,Sayat,TM,38.7839,63.8803,109.27,9,0,29.37,clear sky
132,Kapit,MY,2.0167,112.9333,88.79,62,88,1.59,overcast clouds
133,Vardo,NO,70.3705,31.1107,50.2,81,75,20.71,broken clouds
134,Geraldton,AU,-28.7667,114.6,68.41,83,90,23.02,overcast clouds
135,Cotonou,BJ,6.3654,2.4183,79.09,71,55,13.58,broken clouds
136,Evensk,RU,61.95,159.2333,49.03,99,100,2.86,moderate rain
137,Saldanha,ZA,-33.0117,17.9442,69.85,46,100,21.79,overcast clouds
138,Louis Trichardt,ZA,-23.0439,29.9032,56.48,57,54,8.16,broken clouds
139,Sitka,US,57.0531,-135.33,51.69,87,40,5.75,scattered clouds
140,Kofele,ET,7.0667,38.7833,51.82,88,100,5.28,overcast clouds
141,Berdigestyakh,RU,62.0989,126.6992,83.91,45,8,5.21,clear sky
