City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Turukhansk,RU,86.79,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
584,Ternate,ID,82.6,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
585,Niquero,CU,78.12,broken clouds,20.0431,-77.5828,Islazul Niquero
588,Acapulco,MX,79.23,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
589,Corpus Christi,US,82.4,scattered clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
590,San Nicolas,PH,82.06,light rain,18.1725,120.5953,NORTHVIEW Hotel
594,Chornukhy,UA,82.72,clear sky,50.2673,32.942,
595,Teeli,RU,79.81,broken clouds,51.0333,90.2333,
597,Port Keats,AU,77.23,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
598,Galich,RU,75.47,few clouds,58.3797,42.3475,Galich-Rus'-Otel'
601,Iskilip,TR,80.19,clear sky,40.7353,34.4739,İskilip Öğretmenevi
606,Daragutan,PH,85.01,overcast clouds,17.0,122.0333,Benjie Malsi Home
613,Huzhou,CN,78.37,light rain,30.8703,120.0933,Huzhou Plaza Hotel
619,Wajir,KE,85.06,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
620,Hadejia,NG,78.57,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
622,Ramanuj Ganj,IN,86.18,moderate rain,23.8,83.7,HOTEL SAI SIDDHI
623,Vostok,RU,80.26,light rain,46.4856,135.8833,
626,Nagato,JP,84.15,clear sky,34.3833,131.2,いそう庵
629,Am Timan,TD,78.58,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
631,Shingu,JP,84.9,scattered clouds,33.7333,135.9833,Shingu UI Hotel
633,Kudahuvadhoo,MV,81.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
635,Jalu,LY,85.51,clear sky,29.0331,21.5482,صاحبة الفخامة
636,Kasongo-Lunda,CD,86.18,overcast clouds,-6.4667,16.8167,
647,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
648,Pak Chong,TH,76.15,overcast clouds,14.708,101.4161,PakChong Phubade Hotel
649,Lazaro Cardenas,MX,78.3,broken clouds,17.9583,-102.2,quinta antigua
653,Shitanjing,CN,82.63,light rain,39.2342,106.3439,
658,Newark,US,75.25,mist,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
659,Zalari,RU,81.03,overcast clouds,53.5584,102.5065,"""Belyye Rosy"""
661,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
667,Basco,PH,82.74,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
670,Umm Kaddadah,SD,83.97,overcast clouds,13.6017,26.6876,
672,Lusambo,CD,87.3,broken clouds,-4.9667,23.45,
676,San Joaquin,US,77.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
678,Douentza,ML,89.58,broken clouds,14.9951,-2.9517,Ogomono Doumbo
679,Mirnyy,RU,86.25,clear sky,62.5353,113.9611,квартира
680,Yuncheng,CN,80.71,broken clouds,35.0231,110.9928,晋州快捷酒店
